name,address,latitude,longitude
Shenzhen Data Center,"China Steel Building Parking Lot, Zhonggang Science & Technology Parks (Kewen Road), Gaoxin Middle 4th Road, Nanshan Qu, Shenzhen Shi, Guangdong Sheng, China",22.541752,113.9397108
Dongguan Zhangmutou IDC Data Center,"Zhangmutouzhen, Dongguan, Guangdong, China",22.914909,114.083278
Foshan Century Interconnect IDC Data Center,"China Telecom, China Telecom (Ping Chau Office), Nangang Road, Nanhai Qu, Foshan Shi, Guangdong Sheng, China",23.0362321,113.1948363
Chaozhou Hub Building Data Center,"China, Guangdong, Chaozhou, Xiangqiao, 潮枫路",23.6610794,116.6259245
Guangdong Keyun Data Center,"Huan Ling Lu, Huangpu Qu, Guangzhou Shi, Guangdong Sheng, China",23.2099097,113.5393183
GDS Chengdu Data Center,"Futian, Shenzhen, Guangdong, China",22.521523,114.055023
Guangzhou Tianhe Aircraft Building IDC Data Center,"Guang Zhou Qu Chen Shi Shi Pin Yin Liao You Xian Gong Si Guang Zhou Zheng Liu Shui Jing Ying Bu, Everbright Bank Mansion (Tianhe North Road), Tianhe North Road, Tian He Gong Yuan, Tianhe Qu, Guangzhou, Guangdong Sheng, China",23.1417341,113.3418343
Guangzhou Data Center (GZ5),"Meide 2nd Road, Meideer Road, Nansha District, Guangzhou, Guangdong Province, China, 511462",22.721764,113.533343
CAN1 | Guangzhou,"Luo Kan, Huangpu, Guangzhou, Guangdong Province, China",23.16904,113.51667
Guangdong Huizhou Dongping IDC Data Center,"China Telecom, JEANSWEST (Zhongshan West Road), Huizhou Commercial Pedestrian Street, Huicheng Qu, Huizhou Shi, Guangdong Sheng, China",23.0929374,114.4060175
ZUH1 Zhuhai Data Center,"Jiuzhou Middle Avenue, 九洲大道中 Xiangzhou, Zhuhai, Guangdong Province, China, 519020",22.241723,113.561866
Shantou Yuedong IDC Data Center,"Shan Tou Shi Shang Biao Shi Wu Suo, Hanjiang Building, Longhu Qu, Shantou, Guangdong Sheng, China",23.361818,116.728268
CAN1 Guangzhou Data Center,"Tian Yuan Lu, Tianyuan Road, Tianhe District, Guangzhou, Guangdong Province, China",23.183098,113.357869
Guangzhou Accelerator Data Center,"Huangpu, Guangzhou, Guangdong, China",23.106401,113.459749
FUO1 Guangdong Sheng Data Center,"Foshan, Guangdong, China",23.021478,113.121435
Foshan Kepler Data Center,"Lang Bao Xi Lu, Chancheng District, Foshan, Guangdong Province, China",23.0381908,113.0562404
Shiji IDC Data Center,"Jinlong Rd, Panyu, Guangzhou, Guangdong, China",22.9725233,113.4284494
Zhongshan Huoju Cloud Data Center,"Zhongshan, Guangdong, China",22.517585,113.39277
Shenzhen Data Center (SZ4),"Qishi Road, Qishi Road, Pingshan District, Shenzhen, Guangdong Province, China, 518118",22.709527,114.370327
Zhanjiang Tunxi Data Center,"Leshan Rd, Chikan District, Zhanjiang, Guangdong Province, China",21.240597,110.4071963
Foshan Guijiang IDC Data Center,"21 Nanhai Ave N, Bao Li Shui Cheng, Nanhai Qu, Foshan Shi, Guangdong Sheng, China, 528226",23.0480325,113.1402741
Shenzhen Information Hub Data Center,"Xinxi Shuniu Mansion, Futian CBD, Futian Qu, Shenzhen Shi, Guangdong Sheng, China",22.5352098,114.0553976
Dongguan City IDC Data Center,"Dongguan, Guangdong, China",23.020673,113.751799
Shenzhen Futian Data Center,"Futian Free Trade Zone, Honghua Road, Futian District, Shenzhen, Guangdong Province, China",22.507865,114.057036
Guangzhou Data Center (GZ6),"Administration Committee of Guangdong Zengcheng Industrial Park, Qunxian Road, 增城市 Guangzhou, Guangdong Province, China",23.120604,113.608304
Guangdong Zhuhai IDC Data Center,"199 Jinfeng Middle Rd, Xiangzhou, Zhuhai, Guangdong, China, 519085",22.3803187,113.5426834
Meizhou Telecom Hub Building Data Center,"Meijiang, Meizhou, Guangdong, China",24.31049,116.116695
Shahe IDC Data Center,"Nanshan, Shenzhen, Guangdong, China",22.533012,113.930475
Jieyang Jidong Data Center,"Rongcheng, Jieyang, Guangdong, China",23.52519,116.367021
Zhuhai Xiangzhou IDC Data Center,"Zi Jing Lu She Qu, Zijing Road, Xiangzhou, Zhuhai, Guangdong Province, China",22.282733,113.564863
Guangzhou Data Center (GZ2),"S China Innovation Park Charging, Kefeng Road, 33, Huangpu, Guangzhou, Guangdong Province, China",23.1498797,113.4597533
Guangzhou Data Center,"Rui Fa Lu, Huangpu Qu, Guangzhou Shi, Guangdong Sheng, China",23.1570165,113.5002328
Shanwei Data Center,"China, Guangdong, Shanwei, 城区城区政府园林宿舍区",22.773486,115.366198
Shenzhen Gaoke Building IDC Data Center,"China Gaoke Building, Nanshan Qu, Shenzhen Shi, Guangdong Sheng, China",22.5070263,113.8983482
